Last Name,First Name,ORCID
Dong,Cecilia,0000-0003-2540-8734
Donovan,Keith,NO
Doody,Tanya,NO
Doralp,Samantha,0000-0001-7201-2375
Doran,Sean,0000-0002-6834-6716
Dounavis,Anestis,0000-0003-3273-7157
Dove,Michael,0000-0002-1758-8221
Doyle,Philip,NO
Dozois,David,0000-0002-0857-0679
Drangova,Maria,0000-0003-1856-9038
Dresser,George,0000-0002-3604-6743
Dreyer,Jonathan,NO
Driediger,Molly,0000-0002-6442-9733
Driman,David,0009-0007-8532-2031
Drosdowech,Darren,0000-0002-7348-1672
Drover,Walter Marcus,0000-0002-2186-1040
Drysdale,Thomas,NO
D'Souza,David Paul,0000-0001-5093-7107
Dua,Varinder,NO
Dubois,Luc,0000-0002-8828-6896
Ducci,Francesco,0000-0001-6463-8765
Duclos,Rod,0000-0002-5947-8768
Duennwald,Martin,0000-0002-9136-4592
Duerden,Emma,0000-0002-9734-7865
Duggal,Neil,0000-0002-5461-4492
Dukelow,Adam,NO
Dumeaux,Vanessa,0000-0002-1280-6541
Duncan,Audra,0000-0002-7597-7065
Dunn,Stanley,NO
Durocher,Daniel,NO
Dworatzek,Paula,0000-0003-2093-9341
Dyck,Corey,0000-0002-3092-1818
Dyck,Jason ,"
0000-0001-8157-0125"
Dyczok,Marta,0000-0002-8106-8589
Dyer-Witheford,Nick,0000-0001-5177-4282
Eagleson,Roy Arthur,0000-0001-9264-8135
Eastabrook,Genevieve,0000-0001-9184-2796
Eby,Donald,NO
Edgell,David,0000-0003-3858-6150
Edmonds,Marcia,0000-0002-9260-8472
Egan,Raymond R,NO
Ein,Natalie,NO
El Ansary,Ayman Mohamed,0000-0002-7889-330X
El Damatty,Ashraf,0000-0001-8979-9178
El Naggar,Hesham M.,0000-0001-9366-0267
El-Chabib,Tarek,NO
Elfakhani,Mohamad,NO
El-Halabi,Waseem,NO
Elhusein,Bushra,0000-0003-0803-1138
Elia,Mario,NO
Elliott,Jacobi,NO
Ellis,Christopher G.,0000-0002-7760-1846
